catalogue_release,observable_id,measurement_id,object_id,observable_name,value,err_plus,err_minus,censoring,unit,uncertainty_kind,source_location
v2-dataset-catalogue,SKYFIRE1090_skyfire26__halpha_broad_fwhm,SKYFIRE1090_skyfire26,SKYFIRE-1090,halpha_broad_fwhm,1141.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE1867_skyfire26__log_mbh,SKYFIRE1867_skyfire26,SKYFIRE-1867,log_mbh,6.94,0.11,0.12,detection,log10(Msun),published_asymmetric,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE1867_skyfire26__halpha_broad_fwhm,SKYFIRE1867_skyfire26,SKYFIRE-1867,halpha_broad_fwhm,1640.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE2086_skyfire26__log_mbh,SKYFIRE2086_skyfire26,SKYFIRE-2086,log_mbh,7.42,0.05,0.05,detection,log10(Msun),published_symmetric_1sigma,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE2086_skyfire26__halpha_broad_fwhm,SKYFIRE2086_skyfire26,SKYFIRE-2086,halpha_broad_fwhm,2111.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE3519_skyfire26__log_mbh,SKYFIRE3519_skyfire26,SKYFIRE-3519,log_mbh,7.17,0.06,0.07,detection,log10(Msun),published_asymmetric,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE3519_skyfire26__halpha_broad_fwhm,SKYFIRE3519_skyfire26,SKYFIRE-3519,halpha_broad_fwhm,1946.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE9382_skyfire26__log_mbh,SKYFIRE9382_skyfire26,SKYFIRE-9382,log_mbh,5.89,0.14,0.17,detection,log10(Msun),published_asymmetric,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE9382_skyfire26__halpha_broad_fwhm,SKYFIRE9382_skyfire26,SKYFIRE-9382,halpha_broad_fwhm,596.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE12630_skyfire26__log_mbh,SKYFIRE12630_skyfire26,SKYFIRE-12630,log_mbh,7.08,0.19,0.23,detection,log10(Msun),published_asymmetric,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE12630_skyfire26__halpha_broad_fwhm,SKYFIRE12630_skyfire26,SKYFIRE-12630,halpha_broad_fwhm,2215.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE17484_skyfire26__log_mbh,SKYFIRE17484_skyfire26,SKYFIRE-17484,log_mbh,6.78,0.11,0.13,detection,log10(Msun),published_asymmetric,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE17484_skyfire26__halpha_broad_fwhm,SKYFIRE17484_skyfire26,SKYFIRE-17484,halpha_broad_fwhm,1524.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE20952_skyfire26__log_mbh,SKYFIRE20952_skyfire26,SKYFIRE-20952,log_mbh,7.19,0.07,0.07,detection,log10(Msun),published_symmetric_1sigma,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE20952_skyfire26__halpha_broad_fwhm,SKYFIRE20952_skyfire26,SKYFIRE-20952,halpha_broad_fwhm,1882.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE21749_skyfire26__log_mbh,SKYFIRE21749_skyfire26,SKYFIRE-21749,log_mbh,7.22,0.04,0.04,detection,log10(Msun),published_symmetric_1sigma,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE21749_skyfire26__halpha_broad_fwhm,SKYFIRE21749_skyfire26,SKYFIRE-21749,halpha_broad_fwhm,1601.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE22814_skyfire26__log_mbh,SKYFIRE22814_skyfire26,SKYFIRE-22814,log_mbh,6.75,0.2,0.24,detection,log10(Msun),published_asymmetric,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE22814_skyfire26__halpha_broad_fwhm,SKYFIRE22814_skyfire26,SKYFIRE-22814,halpha_broad_fwhm,1299.0,,,detection,km/s,not_published,Table 3 z>=4 rows with numerical black-hole masses
v2-dataset-catalogue,SKYFIRE23289_skyfire26__log_mbh,SKYFIRE23289_skyfire26,SKYFIRE-23289,log_mbh,7.51,0.03,0.03,detection,log10(Msun),published_symmetric_1sigma,Table 3 z>=4 rows with numerical black-hole masses
