physical_object_id,object_id,object_class,redshift,seed_mass_family,required_fedd
HZA-RUBIES-UDS-970351,RUBIES-UDS-970351,broad_line_agn,5.282,1e2,0.5915713381378073
HZA-THRILS-40467,THRILS-40467,broad_line_agn,5.27,1e2,0.5908667579332822
HZA-THRILS-49400,THRILS-49400,broad_line_agn,5.11,1e2,0.5817945304373691
HZA-GOODS-N-14409,GOODS-N-14409,broad_line_agn,5.139,1e2,0.5807552006854548
HZA-J0100-2017,J0100-2017,broad_line_agn,4.938,1e2,0.5742520556678291
HZA-J0148-4214,J0148-4214,broad_line_agn,5.019,1e2,0.5741524309450758
HZA-J0100-15157,J0100-15157,broad_line_agn,4.941,1e2,0.5652172706138981
HZA-J1526M2050-BHAE-3,J1526M2050-BHAE-3,broad_line_agn,4.8751,1e2,0.5633288743398293
HZA-GS-38562,GS-38562,broad_line_agn,4.822,1e2,0.5632398604962897
HZA-DC-848185-A,DC_848185_a,broad_line_agn,5.2931,1e2,0.5573007643683203
HZA-CEERS-1244,CEERS-1244,broad_line_agn,4.478,1e2,0.5390234084690856
HZA-RUBIES-EGS-13872,RUBIES-EGS-13872,broad_line_agn,5.262,1e2,0.5458654788973998
HZA-J0100-12446,J0100-12446,broad_line_agn,4.699,1e2,0.5390974735707234
HZA-J2132P1217-BHAE-1,J2132P1217-BHAE-1,broad_line_agn,4.925,1e2,0.5374913953093066
HZA-THRILS-101567,THRILS-101567,broad_line_agn,5.33,1e2,0.533386823737342
HZA-J1148-7111,J1148-7111,broad_line_agn,4.339,1e2,0.526048711864607
HZA-GN-77652,GN-77652,broad_line_agn,5.229,1e2,0.5274430682798625
HZA-THRILS-44774,THRILS-44774,broad_line_agn,5.11,1e2,0.5264908678482654
HZA-J2232P2930-BHAE-3,J2232P2930-BHAE-3,broad_line_agn,4.7061,1e2,0.5253472499776681
HZA-GS-172975,GS-172975,broad_line_agn,4.741,1e2,0.5245778551942444
HZA-J0109M3047-BHAE-1,J0109M3047-BHAE-1,broad_line_agn,4.36,1e2,0.5240156247913998
HZA-RUBIES-EGS-46985,RUBIES-EGS-46985,broad_line_agn,4.963,1e2,0.5208086997235036
HZA-DC-848185-B,DC_848185_b,broad_line_agn,5.2931,1e2,0.5143421637815957
HZA-DC-873321,DC_873321,broad_line_agn,5.1542,1e2,0.5137239566139692
HZA-DC-417567,DC_417567,broad_line_agn,5.67,1e2,0.5113276882130028
HZA-GS-8083,GS-8083,broad_line_agn,4.753,1e2,0.5113210883970297
HZA-RUBIES-EGS-29489,RUBIES-EGS-29489,broad_line_agn,4.543,1e2,0.5087987336955961
HZA-RUBIES-EGS-45599,RUBIES-EGS-45599,broad_line_agn,4.862,1e2,0.5023647274044402
