catalogue_release,physical_object_id,host_system_id,host_system_assignment_status,host_property_scope
v3-dataset-catalogue,HZA-JADES-1181-72127,HZS-JADES-1181-72127,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-JADES-1181-78773,HZS-JADES-1181-78773,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-JADES-GDN198-1181-38147,HZS-JADES-GDN198-1181-38147,source_verified_single_object_host,not_published
v3-dataset-catalogue,HZA-JADES-NS-GS00004902,HZS-JADES-NS-GS00004902,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00007762,HZS-JADES-NS-GS00007762,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00009422,HZS-JADES-NS-GS00009422,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00009452,HZS-JADES-NS-GS00009452,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00016745,HZS-JADES-NS-GS00016745,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00017072,HZS-JADES-NS-GS00017072,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00021842,HZS-JADES-NS-GS00021842,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00022251,HZS-JADES-NS-GS00022251,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00095256,HZS-JADES-NS-GS00095256,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00099671,HZS-JADES-NS-GS00099671,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00111091,HZS-JADES-NS-GS00111091,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00201127,HZS-JADES-NS-GS00201127,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00202208,HZS-JADES-NS-GS00202208,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS00208643,HZS-JADES-NS-GS00208643,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS10000626,HZS-JADES-NS-GS10000626,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS10013609,HZS-JADES-NS-GS10013609,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS10013905,HZS-JADES-NS-GS10013905,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS10015338,HZS-JADES-NS-GS10015338,source_verified_single_galaxy_host,object_specific
v3-dataset-catalogue,HZA-JADES-NS-GS10056849,HZS-JADES-NS-GS10056849,source_verified_single_galaxy_host,object_specific
